currency pairs|[AUDCAD-2011]
start date|2011-01-01
end date|2012-01-01
increase percentage|1.0
decrease percentage|1.0
max. levels|14
calculations|[1212]
Results
total executions|1
avg. execution time|33568 ms - (0 hrs 5 min 33 secs)
total historical data|365.244
total calculations|4.306.927.707
total basic results|0
total spread results|0
total 1212 results|16
elapsed time|6633 ms - (0 hrs 6 min 6 secs)

ESPC007747:60117 - Basic calculation results
CURRENCYPAIR|1-UP|1-DOWN|1-TOTAL|1-%|2-UP|2-DOWN|2-TOTAL|2-%|3-UP|3-DOWN|3-TOTAL|3-%|4-UP|4-DOWN|4-TOTAL|4-%|5-UP|5-DOWN|5-TOTAL|5-%|6-UP|6-DOWN|6-TOTAL|6-%|7-UP|7-DOWN|7-TOTAL|7-%|8-UP|8-DOWN|8-TOTAL|8-%|9-UP|9-DOWN|9-TOTAL|9-%|10-UP|10-DOWN|10-TOTAL|10-%|11-UP|11-DOWN|11-TOTAL|11-%|12-UP|12-DOWN|12-TOTAL|12-%|13-UP|13-DOWN|13-TOTAL|13-%|14-UP|14-DOWN|14-TOTAL|14-%
AUDCAD-2011|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
ESPC007747:60117 - Spread calculation results
ESPC007747:60117 - 1212 calculation results
CURRENCYPAIR|1-UP|1-DOWN|1-TOTAL|1-%|2-UP|2-DOWN|2-TOTAL|2-%|3-UP|3-DOWN|3-TOTAL|3-%|4-UP|4-DOWN|4-TOTAL|4-%|5-UP|5-DOWN|5-TOTAL|5-%|6-UP|6-DOWN|6-TOTAL|6-%|7-UP|7-DOWN|7-TOTAL|7-%|8-UP|8-DOWN|8-TOTAL|8-%|9-UP|9-DOWN|9-TOTAL|9-%|10-UP|10-DOWN|10-TOTAL|10-%|11-UP|11-DOWN|11-TOTAL|11-%|12-UP|12-DOWN|12-TOTAL|12-%|13-UP|13-DOWN|13-TOTAL|13-%|14-UP|14-DOWN|14-TOTAL|14-%
AUDCAD-2011|178155|179190|357345|100|107023|90264|197287|55,21|53620|65337|118957|33,29|36170|14421|50591|14,16|4872|18113|22985|6,43|6990|2883|9873|2,76|1619|1698|3317|0,93|40|477|517|0,14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
